№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
8,Конвертик с курицей и грибами,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
9,Конвертик с курицей и грибами,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
10,Конвертик с курицей и грибами,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1638",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Кулебяка с капустой,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688713,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Кулебяка с капустой,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Кулебяка с капустой,Тесто арбатское п/ф,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,083","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Кулебяка с капустой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Кулебяка с капустой,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,Кулебяка с капустой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Кулебяка с капустой,фарш капуста/лук на пирожки  п/ф 1 кг,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080",,,,,
6,Кулебяка с капустой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Кулебяка с капустой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,Кулебяка с капустой,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
9,Кулебяка с капустой,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1711",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Куринный шашлык в тесте,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629813,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Куринный шашлык в тесте,,,,,,
 01.12.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Куринный шашлык в тесте,Тесто арбатское п/ф,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Куринный шашлык в тесте,Начинка для шашлыка в тесте,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100",,,,,
3,Куринный шашлык в тесте,КУНЖУТ БЕЛЫЙ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,Куринный шашлык в тесте,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,Куринный шашлык в тесте,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Куринный шашлык в тесте,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,Куринный шашлык в тесте,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,2000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Курочка ряба,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629811,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Курочка ряба,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Курочка ряба,Тесто арбатское п/ф,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Курочка ряба,Начинка для Курочки Рябы,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100",,,,,
3,Курочка ряба,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
4,Курочка ряба,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Курочка ряба,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Курочка ряба,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,Курочка ряба,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,Курочка ряба,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1908",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок с капустой,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688716,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок с капустой,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок с капустой,Тесто арбатское п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,042","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок с капустой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Пирожок с капустой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок с капустой,фарш капуста/лук на пирожки  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
5,Пирожок с капустой,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Пирожок с капустой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Пирожок с капустой,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,Пирожок с капустой,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
9,Пирожок с капустой,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0905",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок с картошкой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630376,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок с картошкой,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок с картошкой,Тесто арбатское п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок с картошкой,Начинка картофельная,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
3,Пирожок с картошкой,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,Пирожок с картошкой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Пирожок с картошкой,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,Пирожок с картошкой,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
7,Пирожок с картошкой,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0978",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок с печенью,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688723,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок с печенью,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок с печенью,Тесто арбатское п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,041","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок с печенью,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Пирожок с печенью,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок с печенью,Фарш из печени с луком п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,036",,,,,
5,Пирожок с печенью,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
6,Пирожок с печенью,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0812",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок с яйцом и зел. луком,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688724,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок с яйцом и зел. луком,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок с яйцом и зел. луком,Тесто арбатское п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,042","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок с яйцом и зел. луком,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Пирожок с яйцом и зел. луком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок с яйцом и зел. луком,Фарш с яйцом и зел. луком на пирожки  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,036",,,,,
5,Пирожок с яйцом и зел. луком,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
6,Пирожок с яйцом и зел. луком,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,Пирожок с яйцом и зел. луком,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,Пирожок с яйцом и зел. луком,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0833",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пицца домашняя,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688741,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пицца домашняя,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пицца домашняя,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,050","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пицца домашняя,Соус для пиццы,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,004",,,,,
3,Пицца домашняя,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
4,Пицца домашняя,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Пицца домашняя,Начинка для пиццы домашней,,,,кг,"0,055",,"0,055",,"  0,0550 ",,"0,049",,,,,
6,Пицца домашняя,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1062",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Расстегай с семгой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923640808,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Расстегай с семгой,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Расстегай с семгой,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Расстегай с семгой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
3,Расстегай с семгой,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,Расстегай с семгой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"  0,0090 ",,"0,009",,,,,
5,Расстегай с семгой,фарш рыбный на пирожки (семга+рис+лук)  п/ф 1 кг,,,,кг,"0,055",,"0,055",,"  0,0550 ",,"0,055",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1330",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Сосиска в тесте,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688728,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Сосиска в тесте,,,,,,
 27.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Сосиска в тесте,Тесто арбатское п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,044","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Сосиска в тесте,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Сосиска в тесте,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,Сосиска в тесте,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Сосиска в тесте,"СОСИСКИ (упаковка-0,8кг)",,,,упак,"0,069",,"0,055",,"  0,0550 ",,"0,055",,,,,
6,Сосиска в тесте,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Сосиска в тесте,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1043",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Сосиска с сыром в тесте,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688729,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Сосиска с сыром в тесте,,,,,,
 27.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Сосиска с сыром в тесте,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,052","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Сосиска с сыром в тесте,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Сосиска с сыром в тесте,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Сосиска с сыром в тесте,"СОСИСКИ (упаковка-0,8кг)",,,,упак,"0,069",,"0,055",,"  0,0550 ",,"0,048",,,,,
5,Сосиска с сыром в тесте,МАЙОНЕЗ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,004",,,,,
6,Сосиска с сыром в тесте,СЫР ТВЕРДЫЙ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,004",,,,,
7,Сосиска с сыром в тесте,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
8,Сосиска с сыром в тесте,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
9,Сосиска с сыром в тесте,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1131",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Учпучмак,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688739,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Учпучмак,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Учпучмак,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,050","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Учпучмак,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Учпучмак,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,Учпучмак,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Учпучмак,Фарш говяжий с картофелем кубиками п/ф 1 кг,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,050",,,,,
6,Учпучмак,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,Учпучмак,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,Учпучмак,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1060",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Шанежка провансаль,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688732,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Шанежка провансаль,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
