№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
3,Пирог с капустой и яйцом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирог с капустой и яйцом,фарш капуста/яйцо на пирожки  п/ф 1 кг,,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,250",,,,,
5,Пирог с капустой и яйцом,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,  -   ,,"0,000",,,,,
6,Пирог с капустой и яйцом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
7,Пирог с капустой и яйцом,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,Пирог с капустой и яйцом,СОЛЬ,,,,кг,"0,004",,"0,004",,  -   ,,"0,000",,,,,
9,Пирог с капустой и яйцом,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,002",,"0,002",,  -   ,,"0,000",,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
14,,,,,,,,,,, ,,,,,,,
15,,,,,,,,,,, ,,,,,,,
16,,,,,,,,,,, ,,,,,,,
17,,,,,,,,,,, ,,,,,,,
18,,,,,,,,,,, ,,,,,,,
19,,,,,,,,,,, ,,,,,,,
20,,,,,,,,,,, ,,,,,,,
21,,,,,,,,,,, ,,,,,,,
22,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог с курицей и картофелем,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629378,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог с курицей и картофелем,,,,,,
 27.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог с курицей и картофелем,Тесто арбатское п/ф,,,,кг,"0,270",,"0,270",,"  0,2700 ",,"0,260","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог с курицей и картофелем,Фарш Элеш п/ф 1 кг (курица+картофель),,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,240",,,,,
3,Пирог с курицей и картофелем,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Пирог с курицей и картофелем,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Пирог с курицей и картофелем,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,Пирог с курицей и картофелем,МАРГАРИН,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог с мясом и картофелем,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688680,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог с мясом и картофелем,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог с мясом и картофелем,Тесто арбатское п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,500","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог с мясом и картофелем,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,009",,"0,009",,  -   ,,"0,000",,,,,
3,Пирог с мясом и картофелем,Меланж (битое яйцо 10 шт),,,,кг,"0,008",,"0,008",,  -   ,,"0,000",,,,,
4,Пирог с мясом и картофелем,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Пирог с мясом и картофелем,Начинка для пирога с мясом и картофелем,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500",,,,,
6,Пирог с мясом и картофелем,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"2,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"2,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог со смородиной,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629437,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог со смородиной,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
